id;denomination_ar;denomination_fr;reference;code
1;Chair lavender Rustic;Research Lead;USBXX;Tasty Rubber Table Gorgeous viral
2;SMTP Som;calculate Consultant Berkshire;withdrawal;firewall integrated
3;Belize Facilitator;deliver Baht;client-dri;Malaysian Ringgit parsing
4;Berkshire Sri Lanka;Investor;real-time ;aggregate Liberian Dollar
5;Money Market Account Dynamic;Electronics;framework;plum invoice Future
6;Missouri;Outdoors;target Kin;parsing Falls
7;copy Qatari Rial;Granite Agent Concrete;Gabon mint;Gorgeous Micronesia quantifying
8;primary;override calculate;Fully-conf;success
9;orange Tools;Hat;value-adde;action-items CFA Franc BCEAO
10;Landing strategize;grey;Home Loan ;Mountains
